Season Number,Startup Name,Episode Number,Pitch Number,Season Start,Season End,Original Air Date,Episode Title,Anchor,Industry,Business Description,Company Website,Started in,Number of Presenters,Male Presenters,Female Presenters,Transgender Presenters,Couple Presenters,Pitchers Average Age,Pitchers City,Pitchers State,Yearly Revenue,Monthly Sales,Gross Margin,Net Margin,EBITDA,Cash Burn,SKUs,Has Patents,Bootstrapped,Original Ask Amount,Original Offered Equity,Valuation Requested,Received Offer,Accepted Offer,Total Deal Amount,Total Deal Equity,Total Deal Debt,Debt Interest,Deal Valuation,Number of Sharks in Deal,Deal Has Conditions,Royalty Deal,Advisory Shares Equity,Namita Investment Amount,Namita Investment Equity,Namita Debt Amount,Vineeta Investment Amount,Vineeta Investment Equity,Vineeta Debt Amount,Anupam Investment Amount,Anupam Investment Equity,Anupam Debt Amount,Aman Investment Amount,Aman Investment Equity,Aman Debt Amount,Peyush Investment Amount,Peyush Investment Equity,Peyush Debt Amount,Amit Investment Amount,Amit Investment Equity,Amit Debt Amount,Ashneer Investment Amount,Ashneer Investment Equity,Ashneer Debt Amount,Guest Investment Amount,Guest Investment Equity,Guest Debt Amount,Invested Guest Name,All Guest Names,Namita Present,Vineeta Present,Anupam Present,Aman Present,Peyush Present,Amit Present,Ashneer Present,Guest Present
3,ModelVerse,31,413,22-Jan-24,31-Mar-24,04-Mar-24,Naye Bharat Ki Neev,Rahul Dua,Technology/Software,Advance AI based Image Model Wrapper,https://www.modelverse.in/,2023,1,1,,,0,Young,Kozhikode,Kerala,,,,,,,,,,25,10,250,1,1,25,10,,,250,3,,,,,,,,,,8.33,3.33,,,,,,,,8.33,3.33,,,,,8.33,3.33,,Ritesh Aggarwal,Ritesh Aggarwal,1,,1,1,,1,,1
3,VikrantBikes,31,414,22-Jan-24,31-Mar-24,04-Mar-24,Naye Bharat Ki Neev,Rahul Dua,Vehicles/Electrical Vehicles,Hydrogen Ethanol fuel based bike,https://vikrantsubhashpawar.website3.me/,,1,1,,,0,Young,Satara,Maharashtra,,,,,,,,,,30,5,600,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ritesh Aggarwal,1,,1,1,,1,,1
3,TheShellHair,32,415,22-Jan-24,31-Mar-24,05-Mar-24,Young Entrepreneurs Make Their Mark,Rahul Dua,Beauty/Fashion,Hair Extensions,https://theshellhair.com/,2020,1,,1,,0,Young,Ajmer,Rajasthan,120,9.73,,35,,,,,yes,30,3,1000,1,1,30,3,,,1000,1,,,,,,,,,,,,,30,3,,,,,,,,,,,,,,,Ritesh Aggarwal,1,,1,1,,1,,1
3,Rize,32,416,22-Jan-24,31-Mar-24,05-Mar-24,Young Entrepreneurs Make Their Mark,Rahul Dua,Food,Energy Bars,https://rizebar.in/,2023,2,2,,,0,Young,Gurgaon,Haryana,0,,,,,,,,funded,45,6,750,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ritesh Aggarwal,1,,1,1,,1,,1
3,MEPACK,32,417,22-Jan-24,31-Mar-24,05-Mar-24,Young Entrepreneurs Make Their Mark,Rahul Dua,Services,Custom Gym Subscription,https://www.mepackfitness.com/,2023,2,2,,,0,Young,Delhi,Delhi,,,,,,,,,,7,10,70,1,1,7,10,,,70,2,yes,,,,,,,,,,,,,,,,,,3.5,5,,,,,3.5,5,,Ritesh Aggarwal,Ritesh Aggarwal,1,,1,1,,1,,1
3,BaccaBucci,33,418,22-Jan-24,31-Mar-24,06-Mar-24,Brand Brilliance,Rahul Dua,Beauty/Fashion,Footwear,https://baccabucci.com/,2014,2,2,,,0,Young,Delhi,Delhi,4700,,55,,7,,,,yes,250,1,25000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deepinder Goyal,1,1,1,1,,,,1
3,Vobble,33,419,22-Jan-24,31-Mar-24,06-Mar-24,Brand Brilliance,Rahul Dua,Education,Kids Audio Platform,https://www.vobble.fun/,2023,2,,2,,0,Middle,Bangalore,Karnataka,,,,,,,,yes,funded,25,1.5,1666.666667,1,1,25,2,,,1250,1,,,,25,2,,,,,,,,,,,,,,,,,,,,,,,,Deepinder Goyal,1,1,1,1,,,,1
3,BeUNatural,33,420,22-Jan-24,31-Mar-24,06-Mar-24,Brand Brilliance,Rahul Dua,Beauty/Fashion,Unisex Salon,,2015,1,1,,,0,Middle,Delhi,Delhi,400,28,,25,,,,,yes,60,2.5,2400,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deepinder Goyal,1,1,1,1,,,,1
3,Erotissch,34,421,22-Jan-24,31-Mar-24,07-Mar-24,Visionary Brands Shine Bright,Rahul Dua,Beauty/Fashion,Lingerie and Swimwear,https://erotissch.com/,2019,2,,2,,0,Middle,Agra,Uttar Pradesh,380,,63,1,10,,,,,75,3,2500,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Azhar Iqubal,,1,1,1,1,,,1
3,LittleBox,35,424,22-Jan-24,31-Mar-24,08-Mar-24,Inspiring Women Entrepreneurs,Rahul Dua,Beauty/Fashion,Fast fashion D2C,https://littleboxindia.com/,2022,2,1,1,,1,Middle,Guwahati,Assam,3600,200,50,,15,,,,yes,75,1,7500,1,1,75,2.5,,,3000,5,,,,15,0.5,,15,0.5,,15,0.5,,15,0.5,,,,,15,0.5,,,,,,,,,,1,1,1,1,,1,,
3,Namakwali,35,426,22-Jan-24,31-Mar-24,08-Mar-24,Inspiring Women Entrepreneurs,Rahul Dua,Food,Organic Spices,https://www.namakwali.com/,2018,2,1,1,,0,Middle,,Uttarakhand,38,3,,17,,,,,,50,5,1000,1,1,10,5,40,8,200,1,,,,,,,,,,,,,,,,,,,10,5,40,,,,,,,,,1,1,1,1,,1,,
3,KariboCosmetics,36,427,22-Jan-24,31-Mar-24,11-Mar-24,Designing Dreams,Rahul Dua,Beauty/Fashion,Customised DIY Lipstick,https://karibocosmetics.com/,2019,2,,2,,0,Young,Mumbai,Maharashtra,80,,60,50,,,,,,80,5,1600,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Ritesh Aggarwal,Radhika Gupta",,1,,1,1,,,2
3,Deeva,36,428,22-Jan-24,31-Mar-24,11-Mar-24,Designing Dreams,Rahul Dua,Beauty/Fashion,Online Saree Platform,https://thedeeva.com/,2021,1,1,,,0,Middle,Bangana,Himachal Pradesh,700,58,60,,35,,,,,200,4,5000,1,1,75,6,125,10,1250,3,,,,,,,,,,,,,25,2,41.66,,,,,,,,,,50,4,83.32,"Ritesh Aggarwal,Radhika Gupta","Ritesh Aggarwal,Radhika Gupta",,1,,1,1,,,2
3,DesignTemplate,36,429,22-Jan-24,31-Mar-24,11-Mar-24,Designing Dreams,Rahul Dua,Technology/Software,Online Design Marketplace,https://designtemplate.io/,,1,1,,,0,Middle,Bid,Maharashtra,160,16,,,,,,,,100,2.5,4000,1,1,100,10,,,1000,1,,,,,,,,,,,,,100,10,,,,,,,,,,,,,,,"Ritesh Aggarwal,Radhika Gupta",,1,,1,1,,,2
3,Sama,37,430,22-Jan-24,31-Mar-24,12-Mar-24,Entrepreneurs Seek Sharks Support,Rahul Dua,Services,Online Despite Resolution,https://www.sama.live/,2015,3,2,1,,0,Middle,Delhi,"Delhi,Bihar,Kerala",640,100,,25,,,,,funded,100,1,10000,1,1,100,1.5,,,6666.666667,3,,,,33.33,0.5,,,,,,,,33.33,0.5,,,,,,,,,,,33.33,0.5,,Ritesh Aggarwal,Ritesh Aggarwal,1,,1,1,,1,,1
3,GoldenFeathers,37,431,22-Jan-24,31-Mar-24,12-Mar-24,Entrepreneurs Seek Sharks Support,Rahul Dua,Manufacturing,Fabrics made from Butchery Chicken Waste,https://goldenfeather.co.in/,2019,3,2,1,,0,Middle,Jaipur,Rajasthan,150,,,,,,386,yes,funded,500,5,10000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ritesh Aggarwal,1,,1,1,,1,,1
3,Myracle.io,37,432,22-Jan-24,31-Mar-24,12-Mar-24,Entrepreneurs Seek Sharks Support,Rahul Dua,Technology/Software,4D Edutainment,https://www.myracle.io/,2021,1,1,,,0,Middle,Mumbai,Maharashtra,,,,,,,,,yes,120,3,4000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ritesh Aggarwal,1,,1,1,,1,,1
3,FlexifyMe,38,435,22-Jan-24,31-Mar-24,13-Mar-24,Thoughts And Innovations,Rahul Dua,Medical/Health,Body Pain Management Platform,https://www.flexifyme.com/,2021,2,2,,,0,Middle,Pune,Maharashtra,,33,60,,,,,,funded,100,2,5000,1,1,50,1.32,50,10,3787.878788,1,,,,50,1.32,50,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,,1,,
3,Dharaksha,39,436,22-Jan-24,31-Mar-24,14-Mar-24,Sustainability Careers And Spirits,Rahul Dua,Manufacturing,Ecosolution Sustainable Material Science,https://www.dharaksha.com/,2020,2,2,,,0,Middle,Faridabad,Haryana,,,,,,,,,funded,0.0125,1,1.25,1,1,0.0125,1,,,1.25,5,,,,,,,0.0025,0.2,,0.0025,0.2,,0.0025,0.2,,0.0025,0.2,,,,,,,,0.0025,0.2,,Ritesh Aggarwal,Ritesh Aggarwal,,1,1,1,1,,,1
3,Fit&Flex,40,439,22-Jan-24,31-Mar-24,15-Mar-24,Shaping A Healthier Future,Rahul Dua,Food,"Variety of snacks, Muesli, Granola",https://fitandflex.in/,2019,1,1,,,0,Middle,Ahmedabad,Gujarat,460,,,8,5,,35,,yes,100,3,3333.333333,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deepinder Goyal,1,1,1,1,,,,1
3,Smotect,40,441,22-Jan-24,31-Mar-24,15-Mar-24,Shaping A Healthier Future,Rahul Dua,Medical/Health,Quit Smoking by tablets,https://www.smotect.com/,2022,1,1,,,0,Middle,Mumbai,Maharashtra,281,100,80,,18,,,,yes,100,1,10000,1,1,50,5,50,15,1000,1,yes,,,,,,,,,50,5,50,,,,,,,,,,,,,,,,,Deepinder Goyal,1,1,1,1,,,,1
3,Katidhan,41,442,22-Jan-24,31-Mar-24,18-Mar-24,Cutting-Edge Solutions,Rahul Dua,Manufacturing,Autonomus Light Deterrence System,https://katidhan.com/,2020,1,1,,,0,Middle,Bangalore,Karnataka,60,,50,30,,,,,yes,150,2.5,6000,1,1,75,5,75,10,1500,1,,,,,,,,,,,,,,,,,,,,,,,,,75,5,75,Ritesh Aggarwal,Ritesh Aggarwal,1,1,1,1,,,,1
3,NEMAAI,41,443,22-Jan-24,31-Mar-24,18-Mar-24,Cutting-Edge Solutions,Rahul Dua,Technology/Software,AI and Neuroscience based EdTech Platform,https://nemaai.com/,2023,1,,1,,0,Middle,Delhi,Delhi,,0.3,,,,,,,funded,80,5,1600,1,1,40,8,40,10,500,2,,,,20,4,20,20,4,20,,,,,,,,,,,,,,,,,,,,Ritesh Aggarwal,1,1,1,1,,,,1
3,MaplePods,41,444,22-Jan-24,31-Mar-24,18-Mar-24,Cutting-Edge Solutions,Rahul Dua,Services,Tech Hospitality and Entertainment Company,https://www.maplepods.com/,2021,1,1,,,0,Middle,Delhi,Delhi,,,,,,,,,,150,5,3000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ritesh Aggarwal,1,1,1,1,,,,1
3,SpecOps,42,445,22-Jan-24,31-Mar-24,19-Mar-24,From Tactics To Wellness,Rahul Dua,Others,Tactical clothing for Military,https://specops.in/,,1,1,,,0,Middle,,,626,70,20,8,,,,,yes,80,2,4000,1,1,40,2,40,12,2000,2,,,,,,,,,,,,,20,1,20,,,,20,1,20,,,,,,,,,1,1,1,1,,1,,
3,WhySoBlue,43,449,22-Jan-24,31-Mar-24,20-Mar-24,Groundbreaking Ventures,Rahul Dua,Beauty/Fashion,Clothing Brand,https://whysobluelove.com/,2015,2,,2,,0,Middle,Mumbai,Maharashtra,300,,,10,,,,,,75,3,2500,1,1,40,3,35,10,1333.333333,1,,,,,,,,,,,,,,,,,,,,,,,,,40,3,35,Ritesh Aggarwal,"Ritesh Aggarwal,Radhika Gupta",,1,,1,1,,,2
3,CoratiaTechnologies,43,450,22-Jan-24,31-Mar-24,20-Mar-24,Groundbreaking Ventures,Rahul Dua,Technology/Software,Unmanned Underwater Robots,https://coratia.com/,2021,2,2,,,0,Middle,Rourkela,Odisha,128,,,,,,,,,80,1,8000,1,1,80,1,,,8000,1,,,,,,,,,,,,,,,,,,,,,,,,,80,1,,Ritesh Aggarwal,"Ritesh Aggarwal,Radhika Gupta",,1,,1,1,,,2
3,Xmachines,44,452,22-Jan-24,31-Mar-24,21-Mar-24,Venturing Into Tomorrow,Rahul Dua,Technology/Software,Robotics and AI for Agriculture,https://www.xmachines.ai/,2017,1,1,,,0,Middle,Hyderabad,Telangana,0,,,,,,,,funded,72,4,1800,1,1,72,4,,,1800,2,,,,36,2,,,,,,,,,,,,,,,,,,,,36,2,,Ritesh Aggarwal,Ritesh Aggarwal,1,1,1,1,,,,1
3,Luvottica,44,453,22-Jan-24,31-Mar-24,21-Mar-24,Venturing Into Tomorrow,Rahul Dua,Furnishing/Household,Love-Making Yoga intimate Furniture,https://www.luvottica.in/,2019,1,1,,,0,Middle,Abohar,Punjab,100,,80,30,,,,,,200,10,2000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ritesh Aggarwal,1,1,1,1,,,,1
3,Popcorn,45,455,22-Jan-24,31-Mar-24,22-Mar-24,From Fields To Roads,Rahul Dua,Food,Ready to Eat Popcorn,https://pncpopcorn.com/,2019,1,1,,,0,Middle,Delhi,Delhi,180,,65,15,-10,,,,,75,7.5,1000,1,1,75,15,,,500,1,,1,,75,15,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,,,
3,Prorata,45,456,22-Jan-24,31-Mar-24,22-Mar-24,From Fields To Roads,Rahul Dua,Services,Fractional Car Ownership Platform,https://www.proratacar.com/,2022,1,1,,,0,Middle,Bangalore,Karnataka,0,,,,,,,,funded,100,2,5000,1,1,50,10,50,14,500,2,,,,,,,,,,25,5,25,,,,25,5,25,,,,,,,,,,,,1,1,1,1,1,,,
3,Indigifts,46,457,22-Jan-24,31-Mar-24,25-Mar-24,Brands On The Rise,Rahul Dua,Services,Personal Festive Corporate Gifting,https://indigifts.in/,2017,2,1,1,,1,Middle,Jaipur,Rajasthan,740,76,75,,7.5,,,,yes,50,2,2500,1,1,50,4,,,1250,2,,,,,,,25,2,,,,,,,,,,,,,,,,,25,2,,Ritesh Aggarwal,Ritesh Aggarwal,,1,1,1,1,,,1
3,AlienVersions,46,458,22-Jan-24,31-Mar-24,25-Mar-24,Brands On The Rise,Rahul Dua,Vehicles/Electrical Vehicles,FuelV Smart Fuel Caps,https://alienversions.com/,2023,2,2,,,0,Young,"Itanagar,Dehradun","Arunachal Pradesh,Uttarakhand",0,,,,,,,,,50,5,1000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ritesh Aggarwal,,1,1,1,1,,,1
3,Rocca,46,459,22-Jan-24,31-Mar-24,25-Mar-24,Brands On The Rise,Rahul Dua,Food,Premium Chocolates,https://myrocca.in/,2019,2,1,1,,0,Young,Nagpur,Maharashtra,250,9.5,60,,,,,,funded,60,4,1500,1,1,30,2.5,30,9,1200,1,,,,,,,,,,,,,,,,,,,,,,,,,30,2.5,30,Ritesh Aggarwal,Ritesh Aggarwal,,1,1,1,1,,,1
3,KikoLive,47,460,22-Jan-24,31-Mar-24,26-Mar-24,Entrepreneurs In Action,Rahul Dua,Technology/Software,Listing and Creating Websites for Kirana Sellers,https://kiko.live/,2020,3,2,1,,1,Middle,Mumbai,Maharashtra,25,3,,,,,,yes,funded,100,1,10000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deepinder Goyal,1,1,1,1,,,,1
3,Melooha,47,461,22-Jan-24,31-Mar-24,26-Mar-24,Entrepreneurs In Action,Rahul Dua,Others,AI Powered Astrology Platform,https://www.melooha.com/,2022,3,2,1,,0,Middle,Bangalore,Karnataka,0,,,,,,,yes,,80,2,4000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deepinder Goyal,1,1,1,1,,,,1
3,FUTRStudios,47,462,22-Jan-24,31-Mar-24,26-Mar-24,Entrepreneurs In Action,Rahul Dua,Technology/Software,Kyra Virtual Influencer for Businesses,https://www.futrstudios.in/,2022,2,2,,,0,Middle,"Chandigarh,Ahmedabad","Punjab,Gujarat",46,,,,,,,,yes,100,2.5,4000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deepinder Goyal,1,1,1,1,,,,1
3,FirstBudOrganics,48,464,22-Jan-24,31-Mar-24,27-Mar-24,Captivating The Sharks,Rahul Dua,Food,Organic Products,https://firstbud.in/,2017,2,1,1,,0,Middle,Deoghar,Jharkhand,150,22,,,15,,20,,yes,50,7,714.2857143,1,1,50,10,,,500,1,,,,,,,,,,,,,,,,,,,,,,,,,50,10,,Ritesh Aggarwal,Ritesh Aggarwal,1,,1,1,,1,,1
3,Competishun,49,466,22-Jan-24,31-Mar-24,28-Mar-24,"Thrift, Brews And Brains",Rahul Dua,Education,Coaching classes for IIT/JEE,https://competishun.com/,2020,3,3,,,0,Middle,Jaipur,Rajasthan,1025,,,,,,,,,200,1,20000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Azhar Iqubal,,1,1,1,1,,,1
3,BombayClosetCleanse,49,467,22-Jan-24,31-Mar-24,28-Mar-24,"Thrift, Brews And Brains",Rahul Dua,Beauty/Fashion,Thrift shop resale Platform,https://bombayclosetcleanse.in/,2020,2,,2,,0,Young,Mumbai,Maharashtra,190,20,,15,,,,,,100,2.5,4000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Azhar Iqubal,,1,1,1,1,,,1
3,KioskKaffee,49,468,22-Jan-24,31-Mar-24,28-Mar-24,"Thrift, Brews And Brains",Rahul Dua,Liquor/Beverages,Premium Coffee,https://kiosk-kaffee.com/,2020,3,3,,,0,Middle,Pune,Maharashtra,840,,,9,,,,,,90,3,3000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Azhar Iqubal,,1,1,1,1,,,1
3,NeonAttack,50,469,22-Jan-24,31-Mar-24,29-Mar-24,Entrepreneurs Present Unique Ventures,Rahul Dua,Furnishing/Household,Premium Quality Neon Signs,https://www.neonattack.com/,2020,2,2,,,0,Young,Hyderabad,Telangana,1000,63,,15,,,,,,75,3,2500,1,1,50,2,25,,2500,2,,1,,25,1,12.5,,,,,,,25,1,12.5,,,,,,,,,,,,,,,1,1,1,1,,1,,
3,PTal,50,470,22-Jan-24,31-Mar-24,29-Mar-24,Entrepreneurs Present Unique Ventures,Rahul Dua,Furnishing/Household,"Copper, Brass, and Bronze Kitchenware",https://ptal.in/,2017,3,2,1,,0,Young,Amritsar,Punjab,398,,,,6,,,,funded,50,1,5000,1,1,100,3.2,,,3125,5,,,,20,0.64,,20,0.64,,20,0.64,,20,0.64,,,,,20,0.64,,,,,,,,,,1,1,1,1,,1,,
3,RoadPilot,50,471,22-Jan-24,31-Mar-24,29-Mar-24,Entrepreneurs Present Unique Ventures,Rahul Dua,Technology/Software,App for Truck Drivers and Fleet Owners,https://roadpilot.co.in/,2021,2,1,1,,,Middle,Lucknow,Uttar Pradesh,,,,,,,,,,80,5,1600,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,,1,,
3,SmartMop,51,472,22-Jan-24,31-Mar-24,30-Mar-24,Brilliant Businesses,Snehil Dixit Mehra,Furnishing/Household,Caspian smart household cleaning device,https://www.smartmop.in/,2022,2,2,,,0,Young,Mysuru,Karnataka,,,,,,,,yes,,15,1,1500,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Azhar Iqubal,1,1,1,1,,,,1
3,Lea,51,473,22-Jan-24,31-Mar-24,30-Mar-24,Brilliant Businesses,Snehil Dixit Mehra,Beauty/Fashion,"With real curves, to celebrate and accentuate the skin",https://www.leaclothingco.com/,2021,2,,2,,0,Middle,Noida,Uttar Pradesh,300,60,80,,20,,,,,100,2,5000,1,1,100,4,,,2500,4,,1,,25,1,,25,1,,25,1,,,,,,,,,,,,,,25,1,,Azhar Iqubal,Azhar Iqubal,1,1,1,1,,,,1
3,$KrishnaRama,51,474,22-Jan-24,31-Mar-24,30-Mar-24,Brilliant Businesses,Snehil Dixit Mehra,Entertainment,Movie,,2023,2,2,,,0,Middle,Hyderabad,Telangana,,,,,,,,,,200,30,666.6666667,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Azhar Iqubal,1,1,1,1,,,,1
3,Rentit4me,51,475,22-Jan-24,31-Mar-24,30-Mar-24,Brilliant Businesses,Snehil Dixit Mehra,Services,Marketplace where people can “Give on Rent” & “Take on Rent,https://rentit4me.com/,2023,3,1,2,,1,Middle,Gurugram,Haryana,142,23,36,12,,,,,,150,5,3000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Azhar Iqubal,1,1,1,1,,,,1
3,CoolTheGlobe,52,476,22-Jan-24,31-Mar-24,31-Mar-24,Ecopreneur Special,Snehil Dixit Mehra,Others,Movement to combat climate change,https://www.cooltheglobe.org/,,1,,1,,0,Middle,Pune,Maharashtra,0,,,,,,,,,25,5,500,1,1,25,8,,,312.5,2,,,,,,,,,,,,,12.5,4,,,,,,,,,,,12.5,4,,Radhika Gupta,"Azhar Iqubal,Radhika Gupta",1,,1,1,,,,2
3,Canvaloop,52,477,22-Jan-24,31-Mar-24,31-Mar-24,Ecopreneur Special,Snehil Dixit Mehra,Manufacturing,Sustainable fabrics manufacturer,http://www.canvaloop.com/,2020,2,1,1,,1,Middle,Surat,Gujarat,320,120,,,27,,,,funded,100,1.33,7518.796992,1,1,200,4,,,5000,5,,,,40,0.8,,,,,40,0.8,,40,0.8,,,,,,,,,,,80,1.6,,"Azhar Iqubal,Radhika Gupta","Azhar Iqubal,Radhika Gupta",1,,1,1,,,,2
